label, Action
0,1
1,100
2,15
3,16
4,1st
5,2
6,20
7,21
8,25
9,3
10,30
11,4
12,40
13,5
14,6
15,60
16,7
17,about
18,above
19,accept
20,accepted
21,access
22,across
23,actually
24,addict
25,additional
26,admit
27,affect
28,after
29,after-that
30,again
31,aggro
32,ago
33,agree
34,agreed
35,akela
36,alive
37,all
38,alone
39,already
40,although
41,always
42,amazing
43,amen
44,and
45,angry
46,anniversary
47,another
48,any
49,anything
50,anything-else
51,apologise
52,appear
53,apply
54,appointment
55,area
56,around
57,ask
58,ask-me
59,asleep
60,at-least
61,attract
62,attrition
63,average
64,award
65,away
66,awful
67,baby
68,back
69,background
70,bad
71,bald
72,basically
73,bath
74,battle
75,bbc1
76,bcc
77,be-careful
78,bear
79,beard
80,beautiful
81,beauty
82,because
83,bedsit
84,been
85,before
86,begin
87,behind
88,believe
89,bench
90,benefit
91,best
92,better
93,between
94,billion
95,bin
96,bird
97,birmingham
98,bit
99,bless
100,block
101,body
102,bond
103,book
104,booked
105,born
106,born-(alternative)
107,borrow
108,both
109,bought
110,boyfriend
111,brass
112,brave
113,break
114,breakfast
115,brilliant
116,bring
117,broken
118,brother
119,brought
120,build
121,building
122,building-site
123,business
124,busy
125,but
126,buy
127,buying
128,bye
129,call
130,came
131,can
132,can't
133,cannot
134,car
135,care
136,career
137,careful
138,carry-on
139,cash
140,cast
141,castle
142,cd
143,centre
144,century
145,certain
146,certainly
147,chance
148,change
149,change-(clothes)
150,change-(money)
151,changed
152,charge
153,cheque
154,children
155,choice
156,choose
157,church
158,city
159,cladding
160,class
161,clean
162,clear
163,close
164,clothes
165,clown
166,coffee
167,come
168,come-on
169,coming
170,commit
171,commitment
172,community
173,company
174,complete
175,contact
176,control
177,conversation
178,cool
179,corner
180,corridor
181,couldnt
182,council
183,couple
184,cow
185,create
186,cry
187,crying
188,curtain
189,cut
190,cutting
191,dad
192,daddy
193,daughter
194,day
195,dda
196,deal
197,death
198,decide
199,definition
200,demand
201,department
202,design
203,development
204,diary
205,die
206,difference
207,different
208,direction
209,diy
210,djing
211,dna
212,do
213,doctor
214,document
215,dog
216,dome
217,don't-want
218,down
219,draping
220,dream
221,dress
222,drink
223,drive
224,drug
225,drum
226,dvd
227,dwelling
228,dynamic
229,e-mail
230,each
231,each-other
232,early
233,easy
234,eat
235,eating
236,edge
237,electric
238,embarrass
239,embarrassed
240,emergency
241,empty
242,encourage
243,end
244,enhance
245,enjoy
246,enough
247,environment
248,euro-money
249,ever
250,every
251,every-day
252,everybody
253,everyone
254,everything
255,exact
256,excellent
257,excited
258,excuse
259,excuse-me
260,expensive
261,express
262,extra
263,eye
264,face
265,fact
266,fade
267,fair
268,faith
269,fall
270,family
271,fantastic
272,far
273,fast
274,faster
275,father
276,fault
277,fax
278,february
279,feel
280,fell
281,felt
282,few
283,fight
284,finally
285,find
286,fine
287,firm
288,first
289,first-one
290,fit
291,five
292,flat
293,focus
294,foot
295,for
296,force
297,forget
298,forget-it
299,forward
300,four
301,freedom
302,fresh
303,friend
304,friends
305,from
306,front
307,full
308,fun
309,furniture
310,further
311,future
312,get
313,get-on
314,girl
315,girlfriend
316,give
317,give-up
318,glad
319,go
320,go-(directional)
321,go-out
322,god
323,good
324,goodbye
325,gospel
326,got
327,got-it
328,great
329,grill
330,group
331,grow
332,guarantee
333,habit
334,hair
335,hang
336,happen
337,happy
338,hard
339,have
340,have-to
341,he
342,hear
343,heart
344,heat
345,hell
346,help
347,her
348,here
349,high
350,him
351,hit
352,home
353,hope
354,hot
355,hot-water
356,hour
357,house
358,housing
359,how
360,how-long
361,how-you
362,html
363,http
364,hungry
365,i-f
366,i-know
367,idea
368,identify
369,idiot
370,if
371,ignore
372,important
373,impossible
374,in
375,in-the-middle
376,in-the-past
377,inbox
378,income
379,innovative
380,interact
381,interactive
382,interest
383,interested
384,interested-in
385,introduce
386,ipod
387,iron
388,is-that-all
389,isp
390,issue
391,it
392,italian
393,itv
394,jesus
395,joke
396,jump
397,just
398,keep
399,key
400,kick
401,kid
402,kill
403,kind
404,kiss
405,kitchen
406,knew
407,know
408,krill
409,lahar
410,language
411,laptop
412,last
413,last-month
414,last-one
415,last-time
416,last-year
417,late
418,later
419,latte
420,launch
421,leasehold
422,leave
423,left
424,lesson
425,let
426,let-(squash)
427,letter
428,lie
429,life
430,lifestyle
431,lift
432,light
433,like
434,line
435,listen
436,little
437,live
438,live-here
439,load
440,loads
441,local
442,location
443,london
444,long
445,long-time
446,look
447,lord
448,lose
449,lost
450,lot
451,lots
452,love
453,lovely
454,lucky
455,luxury
456,made
457,mail
458,mailto
459,main
460,make
461,making
462,male
463,man
464,many
465,mark
466,market
467,marketing
468,married
469,marry
470,material
471,matt
472,matter
473,may
474,maybe
475,mdf
476,me
477,mean
478,meet
479,meeting
480,men
481,mentor
482,message
483,metal
484,middle
485,might
486,million
487,mind
488,mine
489,ministry
490,minute
491,miss
492,missing
493,mix
494,mle
495,moan
496,model
497,modern
498,monday
499,money
500,month
501,more
502,morning
503,most
504,mother
505,move
506,much
507,mum
508,must
509,my
510,name
511,nand
512,need
513,negative
514,never
515,new
516,news
517,next
518,next-2
519,nice
520,no
521,not
522,not-enough
523,nothing
524,now
525,number
526,nut
527,nvq
528,obvious
529,october
530,off
531,offer
532,often
533,old
534,on
535,one
536,only
537,or
538,or-not
539,other
540,other-side
541,our
542,out
543,outside
544,over
545,over-2
546,own
547,p-w
548,pal
549,parent
550,park
551,part
552,part-of
553,past
554,pasta
555,patch
556,path
557,pay
558,people
559,perfect
560,person
561,photo
562,photography
563,pick
564,place
565,please
566,plenty
567,point
568,poo
569,poor
570,post
571,praise
572,pray
573,prepare
574,pretty
575,price
576,probably
577,professional
578,project
579,promise
580,proper
581,property
582,prove
583,purchase
584,push
585,put
586,put-in
587,question
588,quick
589,quite
590,range
591,rare
592,read
593,ready
594,realise
595,really
596,recently
597,recommend
598,recycling
599,redirect
600,refurbishment
601,refuse
602,regularly
603,relax
604,remember
605,replace
606,require
607,research
608,resistance
609,rest
610,return
611,right
612,right-me
613,river
614,road
615,rock
616,romance
617,roof
618,room
619,round
620,run
621,running
622,s-q
623,s-t
624,safe
625,said
626,sales
627,same
628,sass
629,save
630,say
631,seamount
632,seat
633,see
634,see-you
635,see-you-later
636,sell
637,send
638,separate
639,seperate
640,service
641,session
642,settle
643,seven
644,shame
645,share
646,she
647,shh
648,shoot
649,shop
650,shopping
651,shopping-centre
652,short
653,should
654,show
655,silver
656,since
657,sing
658,single
659,sister
660,sit
661,sit-down
662,six
663,sleep
664,sleeping
665,slowly
666,so
667,sock
668,sofa
669,sold
670,solid
671,some
672,someone
673,something
674,sometimes
675,somewhere
676,son
677,sorry
678,sort
679,source
680,space
681,speak
682,speed
683,spend
684,spine
685,sport
686,sports
687,stairs
688,stance-(cricket)
689,stand
690,standard
691,start
692,state
693,stay
694,steal
695,stop
696,story
697,strange
698,street
699,strong
700,success
701,sum
702,supply
703,suppose
704,sure
705,surprise
706,surprised
707,sysop
708,system
709,take
710,take-care
711,talk
712,tap
713,teach
714,tell
715,temptation
716,ten
717,term
718,thank-you
719,thanks
720,that
721,them
722,then
723,there
724,there-is
725,these
726,they
727,thing
728,things
729,think
730,think-about
731,this
732,this-is
733,those
734,thought
735,three
736,through
737,time
738,tired
739,to
740,to-2
741,today
742,together
743,toilet
744,tommorrow
745,tomorrow
746,too
747,too-busy
748,too-much
749,too-short
750,top
751,touch
752,tough
753,tower
754,train
755,transform
756,travel
757,trna
758,trust
759,trust-me
760,truth
761,try
762,turn
763,two
764,under
765,understand
766,up
767,upstairs
768,urban
769,us
770,use
771,used-to
772,value
773,various
774,view
775,visit
776,visualise
777,wait
778,waiting
779,wake-up
780,walk
781,want
782,war
783,was-born
784,wash
785,watch
786,water
787,way
788,wealthy
789,wear
790,weird
791,well
792,what
793,what?
794,when
795,where
796,which
797,while
798,who
799,whole
800,why
801,wii
802,wiki
803,will
804,win
805,window
806,wise
807,with
808,within
809,without
810,wonder
811,word
812,work
813,world
814,worry
815,worse
816,worth
817,would
818,wow
819,write
820,written
821,wrong
822,xor
823,yard
824,year
825,yes
826,yesterday
827,you
828,you-all
829,you-drink
830,you-know
831,you-understand
832,young
833,your
834,yours
835,yourself
836,10
837,12
838,18
839,18th
840,200
841,29
842,3rd
843,8
844,abroad
845,absolutely
846,achievement
847,advantage
848,advertise
849,affair
850,afraid
851,africa
852,afternoon
853,age
854,ah
855,air
856,allow
857,allowed
858,almost
859,also
860,america
861,among
862,ancient
863,answer
864,anthem
865,anyone
866,arch
867,architecture
868,aspect
869,assembly
870,band
871,bank
872,base
873,basement
874,bbc2
875,beam
876,bed
877,bell
878,below
879,biceps
880,big
881,bill
882,blue
883,boat
884,bold
885,boom
886,bottom
887,bowl
888,box
889,breathe
890,bridge
891,bristol
892,britain
893,british
894,broke
895,brown
896,brush
897,builder
898,burn
899,burst
900,by
901,cabbage
902,cake
903,calling
904,can-you
905,canal
906,candle
907,candles
908,card
909,carpet
910,carriage
911,carry
912,casting
913,catch
914,ceiling
915,celebrate
916,chain
917,chair
918,chapel
919,cheese
920,china
921,circular
922,circus
923,clever
924,cliff
925,climb
926,clock
927,coach
928,coal
929,coast
930,coffin
931,cold
932,cold-water
933,collect
934,colour
935,comfort
936,compare
937,confidence
938,congregation
939,connect
940,connected-to
941,consumer
942,contain
943,contrast-(2)
944,cook
945,copper
946,copy
947,cornwall
948,cost
949,cottage
950,cotton
951,could
952,country
953,country-house
954,countryside
955,course
956,court
957,cousin
958,cream
959,cross
960,crown
961,cruel
962,crush
963,culture
964,cup
965,daily
966,damp
967,dance
968,dancing
969,danger
970,dangerous
971,dark
972,date
973,decline
974,deep
975,describe
976,designer
977,dessert
978,detail
979,determine
980,develop
981,developer
982,dig
983,dimension
984,dimension-(2)
985,din
986,discipline
987,discover
988,dishwasher
989,divide
990,dizzy
991,door
992,dramatic
993,draw
994,drill
995,driving
996,dry
997,dublin
998,duck
999,dumb
1000,during
1001,dust
1002,earth
1003,earth-(planet)
1004,earthquake
1005,ecg
1006,echo
1007,egg
1008,eight
1009,either
1010,energy
1011,engaged
1012,engine
1013,engineer
1014,england
1015,english
1016,entrance
1017,equal
1018,equivalent
1019,establish
1020,europe
1021,even
1022,example
1023,except
1024,exchange
1025,expand
1026,famous
1027,fashion
1028,fashionable
1029,favour
1030,feed
1031,ferry
1032,fibre
1033,field
1034,fill
1035,fill-in
1036,final
1037,fire
1038,fired
1039,flight
1040,flirt
1041,float
1042,flock
1043,flood
1044,flooding
1045,floor
1046,foglight
1047,follow
1048,following
1049,fortune
1050,found
1051,french
1052,fridge
1053,gain
1054,garden
1055,gate
1056,gather
1057,generation
1058,global
1059,gold
1060,goods
1061,gossip
1062,gravy
1063,greece
1064,green
1065,green-(golf)
1066,ground
1067,ground-floor
1068,half
1069,hall
1070,head
1071,heading
1072,heavy
1073,hello
1074,helmet
1075,hero
1076,hill
1077,history
1078,hold
1079,hole
1080,horse
1081,host
1082,huge
1083,husband
1084,imagine
1085,improve
1086,in-a-way
1087,individual
1088,industrial-revolution
1089,industry
1090,inside
1091,instead
1092,interior-design
1093,invent
1094,ireland
1095,italy
1096,jam
1097,job
1098,kenya
1099,kingdom
1100,labour
1101,lake
1102,land
1103,landscape
1104,latest
1105,law
1106,lead
1107,leader
1108,leading
1109,learn
1110,led
1111,legal
1112,length
1113,level
1114,library
1115,lightning
1116,lion
1117,lock
1118,look-after
1119,look-like
1120,machine
1121,machinery
1122,maintain
1123,manufacture
1124,me-with
1125,measure
1126,meeting-room
1127,methodist
1128,mineral
1129,minimum
1130,mining
1131,mirror
1132,mud
1133,music
1134,myself
1135,narrow
1136,national
1137,natural
1138,nature
1139,near
1140,need-for
1141,nervous
1142,network
1143,night
1144,nightmare
1145,no-idea
1146,noise
1147,normal
1148,north
1149,notice
1150,octal
1151,odd
1152,of-course
1153,ok
1154,oldest
1155,once
1156,onwards
1157,open
1158,optimise
1159,order
1160,ore
1161,organiser
1162,pace
1163,paint
1164,painting
1165,paper
1166,papers
1167,parade
1168,parsing
1169,partition
1170,pass
1171,peace
1172,pence
1173,penny
1174,pipe
1175,plain
1176,plan
1177,plaster
1178,play
1179,playground
1180,plunge-pool
1181,plymouth
1182,population
1183,possible
1184,power
1185,preaching
1186,pride
1187,princess
1188,problem
1189,process
1190,procross
1191,produce
1192,programme
1193,properly
1194,provide
1195,pull
1196,pulpit
1197,pump
1198,purple
1199,quarter
1200,queen
1201,quiet
1202,rather
1203,reach
1204,real
1205,reason
1206,reduce
1207,register
1208,religion
1209,remove
1210,repeat
1211,restore
1212,result
1213,rgb
1214,rich
1215,right-through
1216,roll
1217,roman
1218,rope
1219,rose
1220,route
1221,row
1222,rule
1223,rural
1224,safety
1225,sandwich
1226,scale
1227,scene
1228,science
1229,score
1230,sea
1231,search
1232,season
1233,seem
1234,sense
1235,serve
1236,set
1237,shaft
1238,shall
1239,shape
1240,ship
1241,shout
1242,shouting
1243,side
1244,silk
1245,simplify
1246,skin
1247,slave
1248,slip
1249,small
1250,smell
1251,smtp
1252,social
1253,society
1254,solution
1255,sound
1256,soup
1257,south
1258,special
1259,spoke
1260,spoon
1261,spring
1262,square
1263,staircase
1264,statement
1265,station
1266,statue
1267,steam
1268,steel
1269,still
1270,stone
1271,store
1272,storm
1273,strength
1274,strike
1275,structure
1276,style
1277,successful
1278,sugar
1279,summer
1280,support
1281,suspension
1282,swim
1283,swimming
1284,swimming-pool
1285,swindon
1286,table
1287,taste
1288,taxi
1289,tea
1290,technique
1291,temple
1292,terrace-house
1293,test-t
1294,their
1295,third
1296,thousand
1297,thousands-of-people
1298,throw
1299,thunder
1300,tie
1301,till
1302,tin
1303,to-build
1304,took
1305,tour
1306,town
1307,track
1308,trade
1309,traffic
1310,transport
1311,tree
1312,trend
1313,true
1314,tube
1315,two-more
1316,um
1317,uniform
1318,united
1319,until
1320,valley
1321,version
1322,victory
1323,violent
1324,vision
1325,waiter
1326,wales
1327,walking
1328,wall
1329,wallpaper
1330,warm
1331,weight
1332,welcome
1333,west
1334,whistle
1335,white
1336,wide
1337,wife
1338,wifi
1339,winter
1340,wok
1341,wonderful
1342,wood
1343,wood-(golf)
1344,working
1345,24
1346,50
1347,able
1348,accident
1349,address
1350,against
1351,all-of-them
1352,all-the-time
1353,am
1354,amazed
1355,announce
1356,anyway
1357,apart
1358,archbishop
1359,around-the-world
1360,article
1361,at-the-back
1362,atmosphere
1363,attention
1364,available
1365,aware
1366,baptism
1367,batter
1368,bid
1369,bite
1370,black
1371,blood
1372,bother
1373,burden
1374,bush
1375,cabinet
1376,camera
1377,candiate
1378,caught
1379,chat
1380,chip
1381,christmas
1382,clap
1383,cloning
1384,closed
1385,club
1386,college
1387,collegue
1388,completely-different
1389,consider
1390,county
1391,cover
1392,crazy
1393,damage
1394,decision
1395,declare
1396,deliver
1397,died
1398,difficult
1399,dining-room
1400,dinner
1401,dirty
1402,disappear
1403,don't-like
1404,done
1405,durham
1406,duty
1407,earlier
1408,elect
1409,election
1410,escape
1411,eternal
1412,everyday
1413,exercise
1414,experience
1415,fairly
1416,fan
1417,feeling
1418,fence
1419,finish
1420,finished
1421,fish
1422,fish-and-chips
1423,flash
1424,fly
1425,football
1426,full-of
1427,full-time
1428,funny
1429,game
1430,generally
1431,get-off
1432,government
1433,guess
1434,guitar
1435,half-hour
1436,helicopter
1437,holiday
1438,horrible
1439,hospital
1440,human
1441,hurt
1442,image
1443,immediately
1444,increase
1445,interview
1446,iraq
1447,knock-on
1448,know-you
1449,labour-party
1450,landform
1451,large
1452,lawn
1453,lecture
1454,less
1455,loss
1456,lunch
1457,map
1458,marvellous
1459,mass
1460,match
1461,media
1462,mention
1463,mistake
1464,neice
1465,neighbour
1466,next-to
1467,not-sure
1468,note
1469,operation
1470,operator
1471,opportunity
1472,opposition
1473,pack
1474,panic
1475,party
1476,personal
1477,phone
1478,photograph
1479,php
1480,picture
1481,plant
1482,plug
1483,pm
1484,police
1485,politican
1486,politics
1487,poll
1488,pop
1489,posh
1490,position
1491,president
1492,press
1493,priest
1494,prime-minister
1495,proud
1496,pub
1497,pyjamas
1498,quran
1499,reaction
1500,reboot
1501,recent
1502,reception
1503,recognise
1504,regular
1505,relationship
1506,relocate
1507,report
1508,represent
1509,results
1510,retire
1511,ring
1512,role
1513,romania
1514,saw
1515,say-tell
1516,school
1517,secret
1518,security
1519,select
1520,several
1521,shake
1522,sign
1523,sit-next
1524,situation
1525,size
1526,slot
1527,smile
1528,soldier
1529,speech
1530,spot
1531,star
1532,step
1533,stepmother
1534,stick
1535,straight
1536,stranger
1537,stress
1538,stuck
1539,suit
1540,sun
1541,surreal
1542,survey
1543,team
1544,technology
1545,telephone
1546,television
1547,tennis
1548,therefore
1549,told
1550,tongue
1551,tonight
1552,total
1553,unfortunately
1554,university
1555,video
1556,wave
1557,wedding
1558,weekend
1559,witness
1560,worship
1561,wound
1562,youngest
1563,11
1564,14
1565,8th
1566,abolish
1567,admin
1568,afford
1569,all-right
1570,anybody
1571,appreciate
1572,arm
1573,assess
1574,assessment
1575,at-the-moment
1576,attack
1577,autism
1578,avoid
1579,back-up
1580,bag
1581,barbecue
1582,beer
1583,birth
1584,bones
1585,boot
1586,boy
1587,bright
1588,bus
1589,bust
1590,butterfly
1591,cartoon
1592,case
1593,cause
1594,chicken
1595,child
1596,chilly
1597,christ
1598,concept
1599,condition
1600,creative
1601,degree
1602,disable
1603,disabled
1604,disgust
1605,dish
1606,documentation
1607,domestic
1608,downstairs
1609,education
1610,effect
1611,ensure
1612,evening
1613,exit
1614,expect
1615,fat
1616,fear
1617,fiance
1618,file
1619,fire-exit
1620,for-you
1621,forever
1622,form
1623,friendship
1624,gift
1625,got-on
1626,half-past
1627,hand
1628,have-a-look-at
1629,how-many
1630,i'm-happy
1631,i-understand
1632,ill
1633,information
1634,inspiration
1635,invert
1636,invite-you
1637,knock
1638,laugh
1639,left-hand-side
1640,lighting
1641,like-not
1642,list
1643,look-for
1644,mad
1645,medical
1646,momentum
1647,moon
1648,mostly
1649,mummy
1650,muscle
1651,nearly
1652,neck
1653,new-build
1654,next-door
1655,next-year
1656,nine
1657,no-matter
1658,no-way
1659,not-yet
1660,officer
1661,olympics
1662,over-there
1663,overdue
1664,overtake
1665,pick-up
1666,pizza
1667,positive
1668,postman
1669,potential
1670,pregnant
1671,preview
1672,prison
1673,public
1674,purse
1675,rat
1676,rebel
1677,receive
1678,reference
1679,regenerate
1680,relevant
1681,relieve
1682,residential
1683,sad
1684,sail
1685,scared
1686,scarf
1687,script
1688,seal
1689,series
1690,serious
1691,silly
1692,sms
1693,snapshot
1694,solve
1695,soon
1696,spider
1697,spirit
1698,spotting
1699,subject
1700,suffer
1701,suitable
1702,sweet
1703,teeth
1704,throat
1705,top-floor
1706,trip
1707,trousers
1708,ward
1709,warehouse
1710,washing
1711,week
1712,weigh
1713,wet
1714,what-time
1715,windy
1716,wire
1717,woman
1718,worm
1719,yellow
1720,younger
1721,your-own
1722,17
1723,20th
1724,9
1725,a-long-time-ago
1726,account
1727,accounts
1728,achieve
1729,add
1730,adviser
1731,ahead
1732,all-go
1733,anticipate
1734,bar
1735,basic
1736,bathroom
1737,beg
1738,border
1739,broom
1740,bury
1741,calendar
1742,chapter
1743,charity
1744,cinema
1745,clip
1746,clue
1747,clutch
1748,colleague
1749,concentrate
1750,concern
1751,congratulations
1752,contract
1753,creep
1754,crisis
1755,cucumber
1756,cushion
1757,depressed
1758,deterioration
1759,diamond
1760,do-not
1761,doubt
1762,drop
1763,dying
1764,earn
1765,east
1766,economics
1767,elevation
1768,enable
1769,ergonomics
1770,especially
1771,everywhere
1772,fag
1773,fail
1774,failure
1775,fancy
1776,figure
1777,finance
1778,food
1779,footage
1780,fork
1781,funds
1782,gas
1783,get-up
1784,glass
1785,gone
1786,gps
1787,hey
1788,hippie
1789,hmmm
1790,honest
1791,how-are-you
1792,how-are-you?
1793,how-much
1794,hundred
1795,inherited
1796,injury
1797,instead-of
1798,interesting
1799,involve
1800,knife
1801,leave-you-alone
1802,long-time-ago
1803,look-forward-to
1804,low
1805,luck
1806,mate
1807,motor
1808,next-week
1809,nice-to-meet-you
1810,no-no
1811,owner
1812,pay-off
1813,per
1814,perspective
1815,plus
1816,prayer
1817,present
1818,procedure
1819,quit
1820,race
1821,radius
1822,raise
1823,red
1824,release
1825,rely
1826,respect
1827,restaurant
1828,retirement
1829,retreat
1830,risk
1831,rubbish
1832,sacrifice
1833,seed
1834,september
1835,skeleton
1836,skirt
1837,sky
1838,stack
1839,stick-to
1840,struggle
1841,stubborn
1842,survival
1843,survive
1844,tax
1845,tear
1846,tempting
1847,to-3
1848,trouble
1849,type
1850,uterus
1851,wardrobe
1852,watersports
1853,weak
1854,wednesday
1855,well-done
1856,wicked
1857,wine
1858,wish
1859,22
1860,2nd
1861,45
1862,agreement
1863,aim
1864,amend
1865,anger
1866,arrive
1867,art
1868,associate
1869,assume
1870,at-last
1871,audio
1872,bacon
1873,behaviour
1874,boring
1875,bottle
1876,bribe
1877,call-me
1878,calm
1879,cam
1880,carpenter
1881,central
1882,challenge
1883,check
1884,client
1885,congress
1886,crime
1887,dear
1888,delegate
1889,delicious
1890,depart
1891,depleted
1892,depth
1893,desire
1894,desperate
1895,director
1896,discrimination
1897,discuss
1898,eject
1899,executive
1900,explain
1901,flower
1902,fold
1903,forgot
1904,frame
1905,free
1906,fry
1907,funeral
1908,gang
1909,ginger
1910,happened
1911,hat
1912,heard
1913,heart-attack
1914,height
1915,hide
1916,how-often
1917,how-old
1918,impressed
1919,include
1920,last-night
1921,lemon
1922,let-you-know
1923,lettuce
1924,liverpool
1925,major
1926,manage
1927,mature
1928,mmm
1929,motorway
1930,niece
1931,no-problem
1932,office
1933,offside
1934,oil
1935,olive-oil
1936,one-person
1937,oral
1938,pea
1939,pear
1940,perhaps
1941,pie
1942,pitch
1943,plate
1944,pluto-(planet)
1945,practise
1946,precision
1947,prefer
1948,presentation
1949,pretend
1950,primary
1951,rabbit
1952,rate
1953,record
1954,reel
1955,remind
1956,reverse
1957,salad
1958,schedule
1959,second
1960,see-you-tomorrow
1961,sex
1962,sick
